epoch,w0,w1,w2,w3,wg0,wg1,wg2,wg3,loss,loss_kl,loss_mse
0.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,-7.8756e-01,2.9333e-01,1.8855e+00,4.1447e-02,1.4929e+01,1.1796e+00,1.3750e+01
1.0000e+00,1.0008e+00,9.9971e-01,9.9811e-01,9.9996e-01,-4.3879e-02,-9.8210e-02,2.2145e+00,4.1158e-01,1.4645e+01,1.1784e+00,1.3467e+01
2.0000e+00,1.0008e+00,9.9980e-01,9.9590e-01,9.9955e-01,-8.5525e-01,3.6147e-01,2.0889e+00,2.4269e-01,1.5514e+01,1.1761e+00,1.4338e+01
3.0000e+00,1.0017e+00,9.9944e-01,9.9381e-01,9.9930e-01,5.9019e-01,5.8706e-02,1.2762e+00,7.4871e-02,1.2600e+01,1.1746e+00,1.1425e+01
4.0000e+00,1.0011e+00,9.9938e-01,9.9253e-01,9.9923e-01,-2.8967e+00,4.8019e+00,2.7837e+00,1.7100e+00,2.3723e+01,1.1727e+00,2.2550e+01
5.0000e+00,1.0040e+00,9.9458e-01,9.8975e-01,9.9752e-01,-1.1939e+00,7.7665e-01,2.5597e+00,1.1146e+00,1.7638e+01,1.1703e+00,1.6468e+01
6.0000e+00,1.0052e+00,9.9381e-01,9.8719e-01,9.9640e-01,3.8366e-01,-4.8242e-02,2.6505e+00,1.3533e+00,1.5726e+01,1.1682e+00,1.4558e+01
7.0000e+00,1.0048e+00,9.9385e-01,9.8454e-01,9.9505e-01,7.6274e-01,1.7203e-01,2.1620e+00,3.5799e-01,1.4004e+01,1.1647e+00,1.2839e+01
8.0000e+00,1.0040e+00,9.9368e-01,9.8238e-01,9.9469e-01,-4.0523e-01,1.2603e-02,2.3169e+00,6.1672e-01,1.5420e+01,1.1616e+00,1.4259e+01
9.0000e+00,1.0044e+00,9.9367e-01,9.8006e-01,9.9408e-01,-1.3303e+00,9.8052e-01,1.9161e+00,8.4243e-02,1.6155e+01,1.1594e+00,1.4995e+01
1.0000e+01,1.0058e+00,9.9269e-01,9.7815e-01,9.9399e-01,-6.9159e-01,2.1071e-01,1.5841e+00,-5.5605e-02,1.4280e+01,1.1585e+00,1.3121e+01
1.1000e+01,1.0065e+00,9.9248e-01,9.7656e-01,9.9405e-01,-6.3699e-01,1.6698e-01,2.6052e+00,1.2705e+00,1.6759e+01,1.1576e+00,1.5601e+01
1.2000e+01,1.0071e+00,9.9231e-01,9.7396e-01,9.9278e-01,-2.0308e+00,2.3664e+00,2.2930e+00,5.9306e-01,1.9034e+01,1.1551e+00,1.7879e+01
1.3000e+01,1.0091e+00,9.8995e-01,9.7166e-01,9.9218e-01,1.1174e+00,5.1598e-01,2.5481e+00,1.1424e+00,1.5205e+01,1.1537e+00,1.4052e+01
1.4000e+01,1.0080e+00,9.8943e-01,9.6912e-01,9.9104e-01,-2.5073e+00,3.6258e+00,2.4895e+00,1.0100e+00,2.1256e+01,1.1495e+00,2.0106e+01
1.5000e+01,1.0105e+00,9.8580e-01,9.6663e-01,9.9003e-01,1.2594e+00,6.9066e-01,2.7969e+00,1.8497e+00,1.6197e+01,1.1478e+00,1.5050e+01
1.6000e+01,1.0093e+00,9.8511e-01,9.6383e-01,9.8818e-01,-1.1229e+00,6.8433e-01,1.9762e+00,1.5877e-01,1.5847e+01,1.1428e+00,1.4704e+01
1.7000e+01,1.0104e+00,9.8443e-01,9.6185e-01,9.8802e-01,-3.0080e+00,5.2385e+00,2.6679e+00,1.4880e+00,2.3840e+01,1.1417e+00,2.2699e+01
1.8000e+01,1.0134e+00,9.7919e-01,9.5919e-01,9.8654e-01,3.4019e-01,-7.8385e-02,2.2959e+00,6.3087e-01,1.4629e+01,1.1396e+00,1.3489e+01
1.9000e+01,1.0131e+00,9.7927e-01,9.5689e-01,9.8590e-01,-4.0040e-01,6.6725e-03,1.8297e+00,3.8891e-02,1.4255e+01,1.1368e+00,1.3118e+01
2.0000e+01,1.0135e+00,9.7926e-01,9.5506e-01,9.8587e-01,-7.2929e-01,2.4461e-01,2.3270e+00,7.0066e-01,1.6040e+01,1.1355e+00,1.4905e+01
2.1000e+01,1.0142e+00,9.7902e-01,9.5273e-01,9.8517e-01,4.2474e-02,-1.1854e-01,1.9580e+00,1.5461e-01,1.3998e+01,1.1336e+00,1.2865e+01
2.2000e+01,1.0141e+00,9.7914e-01,9.5077e-01,9.8501e-01,1.9700e-01,-1.1019e-01,2.6259e+00,1.4115e+00,1.5876e+01,1.1317e+00,1.4745e+01
2.3000e+01,1.0139e+00,9.7925e-01,9.4815e-01,9.8360e-01,-3.7718e+00,8.2602e+00,3.0051e+00,2.6348e+00,2.8733e+01,1.1285e+00,2.7604e+01
2.4000e+01,1.0177e+00,9.7099e-01,9.4514e-01,9.8096e-01,-2.1937e+00,2.8071e+00,1.4805e+00,-5.4376e-02,1.7918e+01,1.1253e+00,1.6793e+01
2.5000e+01,1.0199e+00,9.6818e-01,9.4366e-01,9.8102e-01,1.7733e+00,1.5006e+00,1.2438e+00,5.0231e-02,1.2764e+01,1.1251e+00,1.1638e+01
2.6000e+01,1.0181e+00,9.6668e-01,9.4242e-01,9.8097e-01,-1.3208e+00,9.8414e-01,2.1008e+00,3.4461e-01,1.6650e+01,1.1216e+00,1.5529e+01
2.7000e+01,1.0195e+00,9.6569e-01,9.4032e-01,9.8062e-01,1.5473e+00,1.0936e+00,2.5340e+00,1.2045e+00,1.5368e+01,1.1205e+00,1.4248e+01
2.8000e+01,1.0179e+00,9.6460e-01,9.3778e-01,9.7942e-01,8.9531e-01,2.4723e-01,1.8208e+00,4.8717e-02,1.3250e+01,1.1156e+00,1.2134e+01
2.9000e+01,1.0170e+00,9.6435e-01,9.3596e-01,9.7937e-01,-1.0367e+00,5.7271e-01,2.5772e+00,1.3306e+00,1.7528e+01,1.1129e+00,1.6415e+01
3.0000e+01,1.0181e+00,9.6378e-01,9.3339e-01,9.7804e-01,-2.6057e+00,3.9698e+00,2.6554e+00,1.5541e+00,2.2344e+01,1.1108e+00,2.1234e+01
3.1000e+01,1.0207e+00,9.5981e-01,9.3073e-01,9.7649e-01,-1.1118e+00,6.7670e-01,2.4020e+00,9.1943e-01,1.7096e+01,1.1090e+00,1.5987e+01
3.2000e+01,1.0218e+00,9.5913e-01,9.2833e-01,9.7557e-01,-1.0519e+00,5.9926e-01,1.7068e+00,-1.4060e-02,1.5216e+01,1.1073e+00,1.4108e+01
3.3000e+01,1.0228e+00,9.5853e-01,9.2662e-01,9.7558e-01,-1.7080e+00,1.6983e+00,2.5293e+00,1.2362e+00,1.9021e+01,1.1065e+00,1.7915e+01
3.4000e+01,1.0245e+00,9.5684e-01,9.2409e-01,9.7434e-01,-1.8549e+00,2.0170e+00,1.7535e+00,1.4121e-02,1.7326e+01,1.1049e+00,1.6221e+01
3.5000e+01,1.0264e+00,9.5482e-01,9.2234e-01,9.7433e-01,1.4133e-01,-1.3748e-01,1.9442e+00,1.7853e-01,1.3925e+01,1.1044e+00,1.2821e+01
3.6000e+01,1.0262e+00,9.5496e-01,9.2040e-01,9.7415e-01,-1.3311e+00,1.0155e+00,1.9925e+00,2.3759e-01,1.6458e+01,1.1025e+00,1.5356e+01
3.7000e+01,1.0276e+00,9.5394e-01,9.1840e-01,9.7391e-01,-1.9672e+00,2.2843e+00,2.3890e+00,9.2600e-01,1.9324e+01,1.1015e+00,1.8223e+01
3.8000e+01,1.0295e+00,9.5166e-01,9.1601e-01,9.7299e-01,-2.2847e-01,-8.0608e-02,2.4789e+00,1.1439e+00,1.5899e+01,1.1002e+00,1.4799e+01
3.9000e+01,1.0298e+00,9.5174e-01,9.1353e-01,9.7184e-01,-6.7115e-01,1.9593e-01,2.1990e+00,5.5854e-01,1.5671e+01,1.0978e+00,1.4573e+01
4.0000e+01,1.0304e+00,9.5154e-01,9.1134e-01,9.7129e-01,-2.0842e+00,2.5790e+00,1.8241e+00,7.6787e-02,1.8194e+01,1.0962e+00,1.7098e+01
4.1000e+01,1.0325e+00,9.4896e-01,9.0951e-01,9.7121e-01,-7.2351e-01,2.4603e-01,2.5874e+00,1.4489e+00,1.7074e+01,1.0957e+00,1.5978e+01
4.2000e+01,1.0333e+00,9.4872e-01,9.0692e-01,9.6976e-01,4.1443e-02,-1.3986e-01,1.9841e+00,2.4770e-01,1.4147e+01,1.0935e+00,1.3053e+01
4.3000e+01,1.0332e+00,9.4886e-01,9.0494e-01,9.6951e-01,1.3994e+00,8.2222e-01,2.4641e+00,1.1419e+00,1.5144e+01,1.0916e+00,1.4052e+01
4.4000e+01,1.0318e+00,9.4803e-01,9.0248e-01,9.6837e-01,-2.7600e+00,4.5331e+00,3.6287e+00,5.7407e+00,2.7977e+01,1.0872e+00,2.6889e+01
4.5000e+01,1.0346e+00,9.4350e-01,8.9885e-01,9.6263e-01,1.4763e+00,9.3317e-01,2.7871e+00,2.0923e+00,1.6443e+01,1.0831e+00,1.5360e+01
4.6000e+01,1.0331e+00,9.4257e-01,8.9606e-01,9.6054e-01,2.8056e-01,-1.3015e-01,1.3628e+00,-4.7239e-02,1.2859e+01,1.0779e+00,1.1782e+01
4.7000e+01,1.0328e+00,9.4270e-01,8.9470e-01,9.6058e-01,2.9554e-01,-1.2686e-01,1.3312e+00,-3.6800e-02,1.2816e+01,1.0765e+00,1.1739e+01
4.8000e+01,1.0325e+00,9.4282e-01,8.9337e-01,9.6062e-01,-1.9507e+00,2.2613e+00,2.8424e+00,2.3030e+00,2.1104e+01,1.0751e+00,2.0029e+01
4.9000e+01,1.0345e+00,9.4056e-01,8.9052e-01,9.5832e-01,-1.8866e+00,2.1196e+00,2.6864e+00,1.8042e+00,2.0271e+01,1.0729e+00,1.9198e+01
5.0000e+01,1.0364e+00,9.3844e-01,8.8784e-01,9.5651e-01,-8.8795e-01,4.1529e-01,2.7417e+00,1.9890e+00,1.8062e+01,1.0711e+00,1.6991e+01
5.1000e+01,1.0372e+00,9.3803e-01,8.8510e-01,9.5453e-01,-1.5031e+00,1.3365e+00,1.9611e+00,2.4460e-01,1.6888e+01,1.0687e+00,1.5819e+01
5.2000e+01,1.0387e+00,9.3669e-01,8.8313e-01,9.5428e-01,6.7334e-01,3.0512e-02,1.7609e+00,4.5859e-02,1.3252e+01,1.0680e+00,1.2184e+01
5.3000e+01,1.0381e+00,9.3666e-01,8.8137e-01,9.5423e-01,2.3049e+00,2.6167e+00,1.8263e+00,1.0324e-01,1.4133e+01,1.0657e+00,1.3067e+01
5.4000e+01,1.0358e+00,9.3404e-01,8.7955e-01,9.5413e-01,-5.8950e-01,1.2068e-01,1.7617e+00,5.0779e-02,1.4523e+01,1.0608e+00,1.3462e+01
5.5000e+01,1.0364e+00,9.3392e-01,8.7779e-01,9.5408e-01,2.3503e+00,2.7373e+00,6.5226e-01,7.5582e-01,1.3241e+01,1.0598e+00,1.2181e+01
5.6000e+01,1.0340e+00,9.3119e-01,8.7713e-01,9.5332e-01,-3.8660e+00,8.8924e+00,1.8724e+00,1.5456e-01,2.5575e+01,1.0556e+00,2.4519e+01
5.7000e+01,1.0379e+00,9.2229e-01,8.7526e-01,9.5317e-01,7.4608e-01,6.6630e-02,2.7166e+00,1.9599e+00,1.6162e+01,1.0549e+00,1.5107e+01
5.8000e+01,1.0371e+00,9.2223e-01,8.7254e-01,9.5121e-01,-6.9336e-01,2.0088e-01,2.5398e+00,1.4415e+00,1.6944e+01,1.0510e+00,1.5893e+01
5.9000e+01,1.0378e+00,9.2203e-01,8.7000e-01,9.4977e-01,8.3619e-01,1.3734e-01,1.2625e+00,-2.3954e-02,1.2493e+01,1.0490e+00,1.1444e+01
6.0000e+01,1.0370e+00,9.2189e-01,8.6874e-01,9.4979e-01,-1.3295e+00,1.0203e+00,1.4831e+00,-6.4991e-02,1.5556e+01,1.0470e+00,1.4509e+01
6.1000e+01,1.0383e+00,9.2087e-01,8.6726e-01,9.4986e-01,9.5511e-01,2.4373e-01,1.6188e+00,-2.7280e-02,1.2935e+01,1.0467e+00,1.1889e+01
6.2000e+01,1.0374e+00,9.2063e-01,8.6564e-01,9.4989e-01,-2.0804e+00,2.5900e+00,1.6491e+00,-1.1013e-02,1.7906e+01,1.0443e+00,1.6861e+01
6.3000e+01,1.0394e+00,9.1804e-01,8.6399e-01,9.4990e-01,-2.0264e+00,2.4633e+00,1.4676e+00,-6.4139e-02,1.7462e+01,1.0442e+00,1.6418e+01
6.4000e+01,1.0415e+00,9.1557e-01,8.6252e-01,9.4996e-01,-2.6133e+00,4.1203e+00,2.2677e+00,8.1021e-01,2.1277e+01,1.0442e+00,2.0233e+01
6.5000e+01,1.0441e+00,9.1145e-01,8.6026e-01,9.4915e-01,-7.6787e-01,2.7689e-01,1.5766e+00,-3.9269e-02,1.4533e+01,1.0434e+00,1.3489e+01
6.6000e+01,1.0448e+00,9.1118e-01,8.5868e-01,9.4919e-01,-1.1639e+00,7.7486e-01,1.1880e+00,1.2252e-02,1.4884e+01,1.0428e+00,1.3842e+01
6.7000e+01,1.0460e+00,9.1040e-01,8.5749e-01,9.4918e-01,-1.1171e+00,7.0922e-01,2.9139e+00,2.7280e+00,1.9419e+01,1.0427e+00,1.8376e+01
6.8000e+01,1.0471e+00,9.0969e-01,8.5458e-01,9.4645e-01,-2.2138e+00,2.9790e+00,2.7931e+00,2.3038e+00,2.1901e+01,1.0402e+00,2.0860e+01
6.9000e+01,1.0493e+00,9.0671e-01,8.5178e-01,9.4415e-01,-3.9664e-01,-2.0774e-02,2.2529e+00,8.0564e-01,1.5555e+01,1.0384e+00,1.4517e+01
7.0000e+01,1.0497e+00,9.0673e-01,8.4953e-01,9.4334e-01,1.6507e+00,1.1676e+00,2.1362e+00,5.8189e-01,1.4332e+01,1.0366e+00,1.3295e+01
7.1000e+01,1.0481e+00,9.0557e-01,8.4740e-01,9.4276e-01,6.5562e-01,-1.6358e-02,2.3290e+00,9.8608e-01,1.4830e+01,1.0325e+00,1.3797e+01
7.2000e+01,1.0474e+00,9.0558e-01,8.4507e-01,9.4177e-01,-3.4721e+00,7.3011e+00,2.4612e+00,1.3221e+00,2.5558e+01,1.0295e+00,2.4529e+01
7.3000e+01,1.0509e+00,8.9828e-01,8.4260e-01,9.4045e-01,-8.8655e-01,4.1022e-01,1.8772e+00,2.0570e-01,1.5383e+01,1.0283e+00,1.4354e+01
7.4000e+01,1.0518e+00,8.9787e-01,8.4073e-01,9.4024e-01,1.7897e+00,1.4141e+00,2.1544e+00,6.3582e-01,1.4494e+01,1.0275e+00,1.3467e+01
7.5000e+01,1.0500e+00,8.9646e-01,8.3857e-01,9.3961e-01,6.8330e-01,-8.9180e-03,3.4217e+00,5.0964e+00,1.9847e+01,1.0231e+00,1.8824e+01
7.6000e+01,1.0493e+00,8.9647e-01,8.3515e-01,9.3451e-01,-8.6599e-01,3.8106e-01,2.0054e+00,3.8892e-01,1.5665e+01,1.0178e+00,1.4648e+01
